datetime,leads,cpl,roi
2022-10-01 23:00:00,6,36.56,0.238
2022-10-02 00:00:00,5,35.88,0.367
2022-10-02 01:00:00,7,36.28,0.263
2022-10-02 02:00:00,9,35.36,0.322
2022-10-02 03:00:00,7,35.6,0.253
2022-10-02 04:00:00,7,35.44,0.424
2022-10-02 05:00:00,10,34.99,0.367
2022-10-02 06:00:00,9,36.5,0.262
2022-10-02 07:00:00,7,35.71,0.305
2022-10-02 08:00:00,8,33.22,0.249
2022-10-02 09:00:00,6,36.04,0.283
2022-10-02 10:00:00,6,35.47,0.322
2022-10-02 11:00:00,7,36.2,0.343
2022-10-02 12:00:00,3,34.76,0.239
2022-10-02 13:00:00,3,36.59,0.264
2022-10-02 14:00:00,4,34.83,0.348
2022-10-02 15:00:00,3,36.4,0.367
2022-10-02 16:00:00,5,34.03,0.263
2022-10-02 17:00:00,4,34.16,0.349
2022-10-02 18:00:00,3,36.14,0.24
2022-10-02 19:00:00,8,34.26,0.287
2022-10-02 20:00:00,5,39.33,0.244
2022-10-02 21:00:00,6,36.04,0.281
2022-10-02 22:00:00,5,34.95,0.397
2022-10-02 23:00:00,7,36.53,0.299
2022-10-03 00:00:00,8,33.92,0.288
2022-10-03 01:00:00,7,36.72,0.274
2022-10-03 02:00:00,10,36.65,0.287
2022-10-03 03:00:00,8,37.36,0.262
2022-10-03 04:00:00,9,33.96,0.309
2022-10-03 05:00:00,9,32.38,0.301
2022-10-03 06:00:00,12,33.6,0.279
2022-10-03 07:00:00,10,34.24,0.275
2022-10-03 08:00:00,8,38.13,0.312
2022-10-03 09:00:00,10,39.17,0.266
2022-10-03 10:00:00,7,35.46,0.291
2022-10-03 11:00:00,8,34.77,0.28
2022-10-03 12:00:00,4,34.04,0.192
2022-10-03 13:00:00,5,36.38,0.346
2022-10-03 14:00:00,7,39.09,0.211
2022-10-03 15:00:00,7,38.27,0.214
2022-10-03 16:00:00,6,36.96,0.348
2022-10-03 17:00:00,6,36.91,0.248
2022-10-03 18:00:00,6,36.32,0.199
2022-10-03 19:00:00,4,34.54,0.37
2022-10-03 20:00:00,5,33.15,0.271
2022-10-03 21:00:00,6,34.56,0.364
2022-10-03 22:00:00,9,35.43,0.258
2022-10-03 23:00:00,8,31.66,0.221
2022-10-04 00:00:00,6,34.24,0.287
2022-10-04 01:00:00,9,32.88,0.243
2022-10-04 02:00:00,9,36.54,0.324
2022-10-04 03:00:00,9,33.39,0.338
2022-10-04 04:00:00,11,35.13,0.35
2022-10-04 05:00:00,11,33.05,0.288
2022-10-04 06:00:00,11,37.63,0.373
2022-10-04 07:00:00,8,31.01,0.258
2022-10-04 08:00:00,8,35.35,0.311
2022-10-04 09:00:00,9,31.82,0.297
2022-10-04 10:00:00,9,33.33,0.403
2022-10-04 11:00:00,7,34.74,0.365
2022-10-04 12:00:00,6,34.82,0.306
2022-10-04 13:00:00,5,34.74,0.314
2022-10-04 14:00:00,4,34.57,0.381
2022-10-04 15:00:00,7,32.96,0.267
2022-10-04 16:00:00,7,33.89,0.203
2022-10-04 17:00:00,5,34.26,0.256
2022-10-04 18:00:00,6,34.56,0.284
2022-10-04 19:00:00,6,34.01,0.373
2022-10-04 20:00:00,4,35.58,0.357
2022-10-04 21:00:00,6,34.28,0.303
2022-10-04 22:00:00,8,34.47,0.328
2022-10-04 23:00:00,6,33.28,0.27
2022-10-05 00:00:00,9,31.91,0.41
2022-10-05 01:00:00,3,34.3,0.366
2022-10-05 02:00:00,9,36.38,0.308
2022-10-05 03:00:00,8,34.83,0.302
2022-10-05 04:00:00,7,32.28,0.341
2022-10-05 05:00:00,8,35.52,0.303
2022-10-05 06:00:00,5,33.19,0.215
2022-10-05 07:00:00,7,35.26,0.382
2022-10-05 08:00:00,7,33.06,0.364
2022-10-05 09:00:00,8,34.48,0.324
2022-10-05 10:00:00,5,32.71,0.285
2022-10-05 11:00:00,4,32.73,0.307
2022-10-05 12:00:00,4,30.55,0.174
2022-10-05 13:00:00,5,34.68,0.251
2022-10-05 14:00:00,4,34.37,0.395
2022-10-05 15:00:00,2,34.45,0.332
2022-10-05 16:00:00,3,34.12,0.209
2022-10-05 17:00:00,2,32.01,0.265
2022-10-05 18:00:00,4,35.44,0.21
2022-10-05 19:00:00,1,35.46,0.268
2022-10-05 20:00:00,2,31.87,0.298
2022-10-05 21:00:00,2,34.47,0.387
2022-10-05 22:00:00,1,35.13,0.346
2022-10-05 23:00:00,4,32.41,0.292
2022-10-06 00:00:00,5,32.72,0.294
2022-10-06 01:00:00,5,34.35,0.267
2022-10-06 02:00:00,4,30.23,0.362
2022-10-06 03:00:00,3,31.04,0.368
2022-10-06 04:00:00,5,31.2,0.24
2022-10-06 05:00:00,5,29.55,0.221
2022-10-06 06:00:00,4,35.28,0.291
2022-10-06 07:00:00,4,29.1,0.298
2022-10-06 08:00:00,5,33.73,0.32
2022-10-06 09:00:00,7,34.63,0.224
2022-10-06 10:00:00,4,32.39,0.272
2022-10-06 11:00:00,3,31.6,0.304
2022-10-06 12:00:00,2,33.37,0.269
2022-10-06 13:00:00,0,32.87,0.351
2022-10-06 14:00:00,1,34.84,0.401
2022-10-06 15:00:00,1,27.54,0.281
2022-10-06 16:00:00,4,30.92,0.353
2022-10-06 17:00:00,0,33.85,0.29
2022-10-06 18:00:00,1,32.79,0.262
2022-10-06 19:00:00,0,34.15,0.273
2022-10-06 20:00:00,0,33.14,0.347
2022-10-06 21:00:00,3,32.31,0.276
2022-10-06 22:00:00,3,31.93,0.286
2022-10-06 23:00:00,3,37.15,0.251
2022-10-07 00:00:00,1,35.53,0.34
2022-10-07 01:00:00,5,33.42,0.332
2022-10-07 02:00:00,1,32.54,0.382
2022-10-07 03:00:00,5,33.42,0.339
2022-10-07 04:00:00,7,33.96,0.33
2022-10-07 05:00:00,3,33.11,0.338
2022-10-07 06:00:00,3,30.73,0.296
2022-10-07 07:00:00,4,35.76,0.315
2022-10-07 08:00:00,3,32.64,0.356
2022-10-07 09:00:00,1,36.14,0.268
2022-10-07 10:00:00,3,32.45,0.394
2022-10-07 11:00:00,0,31.54,0.341
2022-10-07 12:00:00,2,34.76,0.411
2022-10-07 13:00:00,0,32.56,0.251
2022-10-07 14:00:00,3,32.18,0.251
2022-10-07 15:00:00,0,29.47,0.328
2022-10-07 16:00:00,0,33.15,0.316
2022-10-07 17:00:00,2,30.81,0.287
2022-10-07 18:00:00,0,30.86,0.246
2022-10-07 19:00:00,1,30.73,0.297
2022-10-07 20:00:00,3,32.55,0.321
2022-10-07 21:00:00,0,28.56,0.245
2022-10-07 22:00:00,2,31.16,0.29
2022-10-07 23:00:00,3,33.51,0.329
2022-10-08 00:00:00,4,29.01,0.35
2022-10-08 01:00:00,2,31.81,0.296
2022-10-08 02:00:00,2,30.16,0.27
